"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1903812706395910425","Sun Mar 23 14:14:54 +0000 2025","10642","Saya menyaksikan dengan mata kepala saya sendiri ADA PEMUKULAN APARAT ada mas-mas yang nyelametin perempuan dipukul diajak duel. SAYA DEMO CUMA BAWA POSTER GOBLOKKKK!! #TolakRUUTNI #TolakRevisiUUTNI #TolakRUUPolri #TolakRUUKejaksaan #TolakDwifungsiTNI #IndonesiaGelap https://t.co/pq9iTILHDU","1903812706395910425","https://pbs.twimg.com/media/Gmuzg7HbMAA5oyk.jpg","","in","spain","130","710","7591","https://x.com/seupurane/status/1903812706395910425","1347551996924973056","seupurane"
"1902566757228859658","Thu Mar 20 03:43:57 +0000 2025","68351"," Gass #TolakRUUTNI #IndonesiaGelap https://t.co/0pGBpKdQKH","1902566757228859658","https://pbs.twimg.com/media/GmdGYUua8AMgQ8f.jpg","","en","Markas efpiay Petamburan JKT","267","347","21724","https://x.com/Opposite6888/status/1902566757228859658","424908793","Opposite6888"
"1903299460157018468","Sat Mar 22 04:15:27 +0000 2025","50654","Jangan mau kembali ke masa orba lagi! TOLAK!! #TolakRUUTNI #TolakDwifungsiABRI #TolakRevisiUUTNI #IndonesiaGelap https://t.co/bJyyPBtRcD","1903299460157018468","https://pbs.twimg.com/media/GmngxTxaEAIwoSA.jpg","","in","my bedroom ","179","1839","27732","https://x.com/neverxended/status/1903299460157018468","1237296136659931136","neverxended"
"1904025845322403887","Mon Mar 24 04:21:51 +0000 2025","30738","#IndonesiaGelap https://t.co/M5InyVehTB","1904025845322403887","https://pbs.twimg.com/media/Gmx1Zx_bMAAuM3Q.jpg","","qme","Indonesia","50","139","11131","https://x.com/_Jerung27/status/1904025845322403887","1183286254126780417","_Jerung27"
"1902963237597159474","Fri Mar 21 05:59:25 +0000 2025","53524","Jamuan hangat untuk para pengkhianat rakyat. #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #ArtistBersuara #KembalikanTNIkeBarak https://t.co/mrJGcmGFHN","1902963237597159474","https://pbs.twimg.com/media/Gmiu-qObwAA33OY.jpg","","in","","365","1079","26810","https://x.com/caracaltamer/status/1902963237597159474","1242287027007016962","caracaltamer"
"1902710754106822938","Thu Mar 20 13:16:09 +0000 2025","50680","Demi sang omega white lotus seorang emperor mengacak-acak konstitusi kerajaan #TolakRevisiUUTNI #TolakRUUTNI #TolakRUUPolri #TolakUUTNI #IndonesiaGelap https://t.co/kTbYhgpstw","1902710754106822938","https://pbs.twimg.com/media/GmfJSembsAA1FME.png","","in","Under your bed","595","520","18025","https://x.com/Potelot_mabur/status/1902710754106822938","1131979578656710657","Potelot_mabur"
"1903835973110345824","Sun Mar 23 15:47:22 +0000 2025","24952","#ArtistBersuara #GagalkanRUUTNI #CabutRUUTNI #PeringatanDarurat #IndonesiaGelap #TolakRUUTNI #TolakRevisiUUTNI #TolakDwifungsiABRI #TolakRUUPolri https://t.co/K8RTCSV2jW","1903835973110345824","https://pbs.twimg.com/media/GmvIuk9bkAAre_k.jpg","","qme","she","116","744","12993","https://x.com/zaltcarramel/status/1903835973110345824","1393921907821404165","zaltcarramel"
"1902632652793852135","Thu Mar 20 08:05:48 +0000 2025","92719","bahasa bayi kenapa sih kok RUU TNI tuh salah. BACA YUK #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI https://t.co/8gEQW9QzJT","1902632652793852135","https://pbs.twimg.com/media/GmeCT43bkAA474u.jpg","","in","relationsea 🦋🦀","611","1120","57526","https://x.com/baymaxsad/status/1902632652793852135","1254922651534897152","baymaxsad"
"1902904676900839593","Fri Mar 21 02:06:43 +0000 2025","54641","GUYSSS JANGAN LUPAKAN REVISI UU POLRI... PERPOINNYA ISINYA PEMBUNGKAMAN PENYADAPAN DOXXING. MEREKA MAU BUNGKAM KITA LAGI KAYAK 98 BEDANYA INI CYBER!! #TolakRUUPolri #IndonesiaGelap https://t.co/Bm1WD9kDRy","1902904676900839593","https://pbs.twimg.com/media/Gmh5t0NaEAUFfKJ.png","","in","mana mana","2293","757","36941","https://x.com/shoerinn/status/1902904676900839593","1457312310297460738","shoerinn"
"1903480887653925342","Sat Mar 22 16:16:23 +0000 2025","54685","Semoga saudari-saudari kita selalu dilindungi #CabutUUTNI #IndonesiaGelap #TolakRUUPolri #TolakRUUTNI #TolakDwifungsiABRI #PerempuanMelawan #ArtistBersuara https://t.co/XiTDzah35z","1903480887653925342","https://pbs.twimg.com/media/GmqFxQkbkAAd6Rr.jpg","","in","","143","886","28503","https://x.com/paspartmclovin/status/1903480887653925342","1404072057424334851","paspartmclovin"
"1903248688237191605","Sat Mar 22 00:53:42 +0000 2025","26197","tetap bersuara dari platform apapun yg kalian punya! #TolakUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiTNI #TolakRUUPolri #TolakRUUKejaksaan https://t.co/fTmLiMRPnZ","1903248688237191605","https://pbs.twimg.com/media/Gmmylt6asAAe41E.jpg","","in","BTS","114","1619","18671","https://x.com/busanbbys7/status/1903248688237191605","742542479027666944","busanbbys7"
"1904477068416438710","Tue Mar 25 10:14:51 +0000 2025","3900","Tarian penghancur raya #PeringatanDarurat #IndonesiaGelap #TolakUUTNI #TolakRevisiUUTNI #TolakRUUPolri #TolakRKUHAP #ArtistBersuara https://t.co/2AyPLbooMG","1904477068416438710","https://pbs.twimg.com/media/Gm4PzO8boAAeCIj.jpg","","in","","9","203","2203","https://x.com/wdgronde_/status/1904477068416438710","1792534102538846209","wdgronde_"
"1903822093801668938","Sun Mar 23 14:52:13 +0000 2025","14883","We chase we bite #TolakRevisiUUTNI #TolakRUUPolri #IndonesiaGelap #haisayagambar https://t.co/o29DmIZKWk","1903822093801668938","https://pbs.twimg.com/media/Gmu8GTKaAAAUPV1.jpg","","en","Daerah Istimewa Bekasi Raya","101","387","7696","https://x.com/haisayahaisa/status/1903822093801668938","1135894700181794818","haisayahaisa"
"1902602563729682856","Thu Mar 20 06:06:14 +0000 2025","81363","Pestanya si anjing si tikus dan si babi di sisi yang terang. #IndonesiaGelap #PeringatanDarurat https://t.co/XwU5QHcezv","1902602563729682856","https://pbs.twimg.com/media/Gmdm08_bMAAgBfH.jpg","","in","Indonesia","303","339","38440","https://x.com/muitsuyu/status/1902602563729682856","989722378161668097","muitsuyu"
"1902750445061177527","Thu Mar 20 15:53:52 +0000 2025","78937","#TolakRUUTNI #PeringatanDarurat #IndonesiaGelap https://t.co/jtx58GRr8N","1902750445061177527","https://pbs.twimg.com/media/GmftQG_W0AAzNOL.jpg","","qme","she/they - 19","201","282","29377","https://x.com/pizzapancakess_/status/1902750445061177527","2399233530","pizzapancakess_"
"1902554059497992647","Thu Mar 20 02:53:30 +0000 2025","740","RT!!! Semua yang turun ke jalan jangan lupa dokumentasiin semua KEKERASAN APARAT DI AKSI #TolakRUUTNI ya! Ini dapat dari kontras_update. Kita dokumentasiin semuanya biar dunia lihat brutalitas aparat. #TolakUUTNI #TolakDwifungsiABRI #IndonesiaGelap #IndonesiaGelapJilid2 https://t.co/oD3dAioMQF","1902554059497992647","https://pbs.twimg.com/media/Gmc6wqva8AI6Fu5.jpg","","in","Surinala’s | any pronouns","24","13","791","https://x.com/holografis/status/1902554059497992647","2930498306","holografis"
